Item:,Price:,Link:
SEEDUINO-XIAO,$8.69,https://www.amazon.eg/-/en/Seeed-XIAO-RP2040-Development-Board/dp/B0GHNR74YH/ref=sr_1_1?crid=1JVA3ZTEEDMOB&dib=eyJ2IjoiMSJ9.A-GMs9N_nqcBOyRT9QDmq05MTHoEFWb8FcZo4LU1UT8XflIEJcUESoT9YCrOPvpIS5sfkUaLGYMs-8XV0VXUGmOADFT194kV2t-dkV1F5uktl5uL5sSes_h2haO_PmLx1GWjFb1Nb0I27wek9eblBQkBcTOgFQh44ncwWQ261Jh6mPD4X6NX7pne5Ro6cmq4XxC-cdEfmQfFTJ2sZl4nPkoe5ugQ7TCUBefkkQCUlppPZaewLQWLFgmxCUnXUboa81bIYFZoM2evEzmwO0DNrUbBDjjKtfTju9gnH8sBZt4.M6-AuCmZS5E9YWKtoIEwgIarvQvfiYxzhNBXUQ9C1J4&dib_tag=se&keywords=xiao&qid=1781080296&sprefix=xiao%2Caps%2C143&sr=8-1
4X Tactile Switches,$2.63,https://www.amazon.eg/gp/product/B0DRGP5733/ref=ewc_pr_img_3?smid=A2DMKAT7ZKLGQN&psc=1
128x32 OLED DISPLAY + Rotary Encoder,$9.10,https://www.amazon.eg/-/en/Display-Interface-construction-installation-Reliable/dp/B0GXQCMJS1/ref=sr_1_3?crid=1FU7EGE4RMOVT&dib=eyJ2IjoiMSJ9.S9TFo_ReA2r8Yb9bgqtjlj_zZVgWuTMJxz3h7HKnKGFZli1_AdwwNFxFN1wpCyCRUlOq_Qg_kA6DBmHFBHmcK7kw7cxY4c7T2xPUj0lXpqAiKANbRJieWWrbCZUAhpsm73V8dfXW4OI0wHcRyjlpjeKElju-eLOH9_ySx_U2-0JvRgxup2Iz5Yovofo_vVSML2DXYYVpYhDfAizUaz1fxyumlaczc_1FAxl_N-HHUUkT3xzyDmybE8UVvT-Gp8OyAI3QP9XNs6k16J5_igGA7n0tHXGpUuze28g8R7FamP8.HECOyfWyTiheve-rz9bPPU7IX7ak9VUN2Atd2BEOWKU&dib_tag=se&keywords=128x32+oled&qid=1781080373&sprefix=128x32+ol%2Caps%2C136&sr=8-3
PCB Fab,$2.00,https://cart.jlcpcb.com/quote?edaOrderUrl=https%3A%2F%2Feasyeda.com%2Forder&electropolishingOnlyNo=no&orderType=1&stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&achieveDate=72&spm=Jlcpcb.gerber_view
Total:,$22.42,
